화면 (대분류),화면 (중분류),컴포넌트,상세 컴포넌트,기능,스프린트,UI 작업,FE 작업,비고
,,,,프로젝트 삭제 모달에서 최소 또는 x  버튼을 클릭하여 모달을 닫을 수 있다.,Sprint1,완료,완료,
,,,,프로젝트 모달에서 확인 버튼 클릭하여 프로젝트를 삭제할 수 있다.,Sprint1,완료,완료,
,,,user_card,사이드바 하단에서 유저 카드 정보를 확인할 수 있다.,Sprint1,완료,완료,
,,,,유저 이름 및 이메일 정보를 확인할 수 있다.,Sprint1,완료,완료,
,,,,유저 카드 아이콘 클릭 시 메뉴를 노출할 수 있다.,Sprint1,미완료,미완료,
,,,,로그아웃을 할 수 있다.,Sprint1,미완료,미완료,
,,,,더보기(...) 버튼을 클릭하여 메뉴를 확인할 수 있다.,Sprint1,미완료,미완료,
,,,,관리자 버튼을 클릭하여 메타데이터 관리 페이지로 이동할 수 있다.,Sprint1,미완료,미완료,
,,메인 컨텐츠,current_projects,현재 진행 중인 프로젝트 목록을 확인할 수 있다.,Sprint1,완료,완료,
,,,,프로젝트 썸네일 우측 상단에 진행중 상태 뱃지를 표시한다.,Sprint1,완료,완료,
,,,,"프로젝트명, 최근 수정일 등 기본 정보를 확인할 수 있다.",Sprint1,완료,완료,"프로젝트명, 마지막 수정날짜, 영상 길이, progress bar, 진행중인 step"
,,,,프로젝트 클릭 시 해당 step 페이지로 이동할 수 있다.,Sprint1,완료,완료,
,,,,새 프로젝트 버튼을 확인할 수 있다.,Sprint1,완료,완료,
,,,,새 프로젝트 클릭 시 모든 입력값이 비어있는 상태로 정보 입력 페이지로 이동한다.,Sprint1,완료,완료,
,,,,진행 중 프로젝트 목록을 페이지 단위로 조회할 수 있다.,Sprint1,미완료,완료,
,,,ai_template,AI 템플릿 목록을 확인할 수 있다.,Sprint1,완료,완료,
,,,,AI 템플릿 클릭 시 정보 입력 페이지로 이동할 수 있다.,Sprint1,완료,완료,
1-2 정보입력,-,정보입력,form,프로젝트 기본 정보를 입력할 수 있다. ,Sprint1,완료,완료,"프로젝트 이름, 영상 목적, 제품설명, 톤앤매너, 프로젝트 설명"
,,,file_upload,참고자료를 업로드할 수 있다.,Sprint1,완료,완료,
,,,,업로드한 참고 자료를 확인할 수 있다.,Sprint1,완료,완료,
,,,,업로드한 참고 자료를 삭제할 수 있다.,Sprint1,완료,미완료,
,,,,참고 자료는 5개의 파일만 업로드할 수 있다. (제약조건 검토 하여 UI 반영 필요),Sprint1,완료,미완료,참고파일 업로드 가능 개수 확인 필요
,,,button_container,필수값을 입력하지 않고 다음 단계로 버튼 클릭 시 alert 를 확인할 수 있다.,Sprint1,완료,미완료,
,,,,취소 버튼을 클릭하여 이전 페이지로 이동할 수 있다. ,Sprint1,완료,완료,
,,,,다음버튼 클릭 시 스토리보드 생성 팝업을 확인할 수 있다.,Sprint1,완료,완료,
,,,,다음단계롤 버튼을 클릭하여 스토리보드 생성 페이지로 이동할 수 있다. ,Sprint1,완료,완료,
스토리보드 생성,1-3 스토리보드 생성,스토리보드 생성,scene_list,스토리보드에 포함된 씬 목록을 확인할 수 있다.,Sprint1,완료,완료,
,,,,씬 클릭 시 해당 씬의 상세 정보가 입력된 상세 페이지로 이동할 수 있다.,Sprint1,완료,완료,
,,,,새 씬 생성 버튼을 확인할 수 있다.,Sprint1,완료,완료,
,,,,새 씬 생성 클릭 시 모든 입력값이 비어있는 씬 추가 페이지로 이동할 수 있다.,Sprint1,완료,완료,
,,,button_container,다음 단계로 버튼을 확인할 수 있다.,Sprint1,완료,완료,
,,,,다음 단계로 버튼 클릭 시 확인 모달을 노출한다.,Sprint1,완료,완료,
,,,,확인 모달 이후 촬영 기획서 생성 페이지로 이동한다.,Sprint1,완료,완료,
,,,ai_button,AI 검증 버튼을 확인할 수 있다.,Sprint1,완료,완료,
,,,,AI 검증 버튼 클릭 시 AI 검증 모달을 노출한다.,Sprint1,완료,완료,
,,,,AI 검증 모달에서 X 버튼 클릭 시 모달을 닫을 수 있다.,Sprint1,완료,완료,
,,,,AI 검증 실행 후 스토리보드 AI 검증 결과 팝업을 노출한다.,Sprint1,완료,완료,
,,,ai_verification_popup,스토리보드 AI 검증 결과 팝업을 확인할 수 있다.,Sprint1,완료,완료,
,,,,전체 평균 점수를 확인할 수 있다.,Sprint1,완료,완료,
,,,,개선사항 및 권장사항을 확인할 수 있다.,Sprint1,완료,완료,
,,,,씬별 AI 검증 결과 목록을 확인할 수 있다.,Sprint1,완료,완료,
,,,,각 씬 하단 화살표 클릭 시 아코디언 컨텐츠를 펼칠 수 있다.,Sprint1,완료,완료,
,,,,각 씬에 대한 평가 내용을 확인할 수 있다.,Sprint1,완료,완료,
,,,,AI 재생성 버튼을 확인할 수 있다.,Sprint1,완료,완료,
,,,,AI 재생성 클릭 시 확인 모달을 노출한다.,Sprint1,완료,완료,
,,,,X 버튼 또는 취소 클릭 시 AI 검증 결과 팝업으로 돌아간다.,Sprint1,완료,완료,
,,,,확인 클릭 시 AI 재생성 모달을 노출한다.,Sprint1,완료,완료,
,,,,재생성 완료 후 모든 모달이 닫히고 alert 창이 노출된다.,Sprint1,완료,완료,
,1-3-1 스케치 이미지 조회,씬 상세 폼,img_area,이미지 재생성 버튼을 확인할 수 있다.,Sprint2,완료,완료,
,,,,이미지가 없는 경우 이미지 생성 버튼을 확인할 수 있다.,Sprint2,완료,완료,버튼명만 다
,,,,이미지 재생성 버튼 클릭 시 재생성 모달을 노출한다.,Sprint2,완료,완료,
,,,,재생성 모달 종료 시 변경된 이미지를 확인할 수 있다.,Sprint2,완료,완료,
,,,,수동편집 버튼을 확인할 수 있다. ,Sprint2,완료,완료,
,,,,이미지가 없는 경우 수동 편집 버튼을 비활성화한다.,Sprint2,완료,완료,
,,,,수동 편집 버튼 클릭 시 수동 편집 팝업을 노출한다.,Sprint2,완료,완료,
,,,input_area,씬 정보를 입력할 수 있는 폼을 확인할 수 있다.,Sprint2,완료,완료,
,,수동편집 팝업,-,좌측 영역에서 현재 씬 이미지를 확인할 수 있다.,Sprint2,완료,완료,
,,,,"우측 영역에서 입력값(변경하고 싶은 내용, 유지하고 싶은 내용)을 확인 및 입력할 수 있다.",Sprint2,완료,완료,
,,,,참고 이미지를 업로드할 수 있다. ,Sprint2,완료,완료,
,,,,업로드한 참고 이미지를 미리볼 수 있다.,Sprint2,완료,완료,
,,,,업로드한 참고 이미지를 삭제할 수 있다.,Sprint2,완료,완료,
,,,,참고 이미지는 1개만 업로드할 수 있다. ,Sprint2,완료,완료,파일 몇개 업로드 가능한지 확인 필요
,,,,취소 버튼 클릭 시 수동 편집 팝업을 닫을 수 있다.,Sprint2,완료,완료,
,,,,필수값 미입력 시 alert 을 확인할 수 있다.,Sprint2,완료,완료,
,,,,스케치 이미지 재생성 버튼을 클릭하여 재생성 모달을 확인할 수 있다.,Sprint2,완료,완료,
,,,,재생성 모달 로딩이 끝나면 모든 팝업이 닫히고 변경된 이미지를 확인할 수 있다. ,Sprint2,완료,완료,
,,버튼 영역,out_button,나가기 버튼 클릭 시 스토리보드 목록 페이지로 이동할 수 있다.,Sprint2,완료,완료,
,,,prev_button,이전 버튼 클릭 시 이전 씬 상세 페이지로 이동할 수 있다.,Sprint2,완료,완료,첫번재 씬이라면 마지막 씬으로 이동 
,,,next_button,다음 버튼 클릭 시 다음 씬 상세 페이지로 이동할 수 있다.,Sprint2,완료,완료,마지막 씬이라면 첫번째 씬으로 이동 
,,,save,저장 버튼 클릭 시 씬 정보를 저장 또는 수정할 수 있다.,Sprint2,완료,완료,
,,,,저장 버튼 클릭 시 저장 중 toast 를 확인할 수 있다.,Sprint2,미완료,완료,
,,,,저장 완료 시 저장 완료 toast 를 확인할 수 있다.,Sprint2,미완료,완료,
,,,,필수값 미입력 시 alert를 노출한다.,Sprint2,완료,완료,
촬영 기획,1-4 촬영기획,입력폼,form,프로젝트 개요 정보를 확인할 수 있다.,Sprint2,완료,완료,
,,,,프로젝트 기본 정보를 선택할 수 있다.,Sprint2,완료,완료,
,,,,컨텐츠 정보를 선택 또는 입력할 수 있다.,Sprint2,완료,완료,
,,,,추가 요구사항을 입력할 수 있다. ,Sprint2,완료,완료,
,,,,씬별 AI 생성 계획 목록을 확인할 수 있다.,Sprint2,완료,완료,현재 제거
,,버튼,pdf_btn,PDF 다운로드 버튼을 확인할 수 있다.,Sprint2,미완료,미완료,
,,,,버튼 클릭 시 촬영 기획서를 PDF 파일로 다운로드할 수 있다.,Sprint2,미완료,미완료,
,,,plan_btn,상세기획서 확인 버튼을 확인할 수 있다. ,Sprint2,완료,완료,
,,,,필수값 미입력 또는 미선택 시 alert 이 노출된다.,Sprint2,완료,완료,
,,,,상세기획서 확인 버튼 클릭 시 촬영 기확서 생성 모달을 확인할 수 있다.,Sprint2,완료,완료,
,,,,촬영기획서 생성 모달 종료 후 상세 기획서 페이지로 이동할 수 있다.,Sprint2,완료,완료,
,,,next_btn,다음단계로 버튼을 확인할 수 있다.,Sprint2,미완료,완료,"현재 제거, 영상 제작 페이지는 상세 기획서 페이지에서만 이동 가능하도록"
,1-4-1 기획서 조회,기획서 상세,-,프로젝트 개요 정보를 확인할 수 있다.,Sprint2,완료,완료,
,,,,씬별 연출 상세 목록을 확인할 수 있다.,Sprint2,완료,완료,
,,,,수정 아이콘 버튼을 확인할 수 있다.,Sprint2,완료,완료,
,,,,수정 아이콘 버튼 클릭 시 씬 편집 팝업이 노출된다. ,Sprint2,완료,완료,
,,,,삭제 아이콘 버튼 클릭 시 confirm 창을 노출한다.,Sprint2,완료,완료,
,,,,확인 버튼 클릭 시 씬이 삭제되며 alert를 노출한다.,Sprint2,완료,완료,
,,씬 편집 팝업,-,씬 편집 팝업에서 선택한 씬의 데이터가 디폴트로 선택되어 있다.,Sprint2,미완료,미완료,
,,,,취소 또는 x 버튼으로 씬 편집 팝업을 닫을 수 있다. ,Sprint2,완료,완료,
,,,,저장 버튼을 클릭하여 씬 편집내용을 저장할 수 있다. ,Sprint2,완료,완료,
,,,,저장 완료 시 씬 편집 팝업이 닫히며 alert를 노출한다.,Sprint2,완료,완료,
,,버튼,prev_btn,뒤로가기 버튼을 확인할 수 있다.,Sprint2,완료,완료,
,,,,클릭 시 이전 페이지(촬영 기획서 생성 페이지)로 이동한다.,Sprint2,완료,완료,
,,,file_export,AI 영상 기획서 내보내기 버튼을 확인할 수 있다.,Sprint2,완료,미완료,
,,,,클릭 시 AI 영상 기획서 파일을 다운로드할 수 있다.,Sprint2,미완료,미완료,
,,,next_page,AI 영상 생성 시작하기 버튼을 확인할 수 있다.,Sprint2,완료,완료,
,,,,클릭 시 영상 제작 페이지로 이동할 수 있다.,Sprint2,완료,완료,
1-5 영상 제작,-,영상 결과,-,영상 제작하기 버튼을 확인할 수 있다.,Sprint3,완료,완료,
,,,,버튼 클릭 시 영상 제작을 요청할 수 있다.,Sprint3,미완료,미완료,
,,,,다운로드 버튼을 확인할 수 있다. ,Sprint3,완료,완료,
,,,,버튼 클릭 시 영상을 다운로드 받을 수 있다.,Sprint3,미완료,미완료,
,,,,프로젝트 완료 버튼을 확인할 수 있다.,Sprint3,완료,완료,
,,,,버튼 클릭 시 대시보드 페이지로 이동할 수 있다.,Sprint3,미완료,미완료,
,,영상 제작 현황,-,우측 상단에 제작 진행률을 확인할 수 있다. ,Sprint3,미완료,미완료,
,,,,"제작 진행 상태를 progress bar, 퍼센트, 남은 시간으로 확인할 수 있다.",Sprint3,미완료,미완료,
,,,,각 씬의 제작 상태(대기/진행중/완료)를 확인할 수 있다.,Sprint3,미완료,미완료,
,,,,완료된 씬 아이템 클릭 시 해당 씬의 영상 미리보기를 확인할 수 있다.,Sprint3,미완료,미완료,
영상 편집,-,클립 목록,-,프로젝트에 포함된 씬 목록을 확인할 수 있다.,Sprint3,미완료,미완료,
,,,,각 씬의 썸네일 및 재생 시간을 확인할 수 있다.,Sprint3,미완료,미완료,
,,,,씬 클릭 시 해당 씬이 선택되어 메인 영상 영역에 표시된다.,Sprint3,미완료,미완료,
,,,,현재 선택된 씬을 하이라이트로 구분할 수 있다,Sprint3,미완료,미완료,border + 작업중 뱃지
,,영상 편집 영역,-,선택된 씬의 영상을 미리보기로 확인할 수 있다.,Sprint3,미완료,미완료,
,,,,영상 재생 / 일시정지를 제어할 수 있다.,Sprint3,미완료,미완료,
,,,,현재 재생 시간을 타임라인 기준으로 확인할 수 있다.,Sprint3,미완료,미완료,
,,,,영상 재생 시 자막이 영상 위에 오버레이로 표시된다.,Sprint3,미완료,미완료,
,,,,영상 구간을 Video 트랙에서 확인할 수 있다.,Sprint3,미완료,미완료,
,,,,배경음악(BGM)을 Audio 트랙 파형으로 확인할 수 있다.,Sprint3,미완료,미완료,
,,,,자막 구간을 Caption 트랙 블록 형태로 확인할 수 있다.,Sprint3,미완료,미완료,
,,,,타임라인에서 현재 재생 위치를 플레이헤드로 확인할 수 있다.,Sprint3,미완료,미완료,
,,,,자막 구간 클릭 시 해당 자막이 선택된다.,Sprint3,미완료,미완료,
,,,,선택된 자막의 텍스트 내용을 확인할 수 있다.,Sprint3,미완료,미완료,
,,텍스트 편집,-,현재 자막 텍스트를 직접 수정할 수 있다.,Sprint3,미완료,미완료,
,,,,자막 폰트를 선택할 수 있다.,Sprint3,미완료,미완료,
,,,,자막 폰트 사이즈를 선택할 수 있다.,Sprint3,미완료,미완료,
,,,,자막 폰트 정렬을 선택할 수 있다.,Sprint3,미완료,미완료,
,,,,자막 폰트 스타일을 선택할 수 있다.,Sprint3,미완료,미완료,"밑줄, 가로줄, 볼드체 등"
,,다국어 캡션 설정,-,언어별 자막 목록(한국어/영어/일본어 등)을 확인할 수 있다.,Sprint3,미완료,미완료,번역 제공 언어는 추후 변경 가능
,,,,각 언어별 번역 상태(완료/진행중)를 확인할 수 있다.,Sprint3,미완료,미완료,
,,,,번역된 자막 내용을 확인할 수 있다.,Sprint3,미완료,미완료,
,,,,적용하기 버튼 클릭 시 자막 수정 내용이 영상 미리보기에 반영된다.,Sprint3,미완료,미완료,
,,,,다국어 자막 적용 시 현재 씬 자막이 갱신된다.,Sprint3,미완료,미완료,
,,,,영상 재생 중에도 타임라인과 자막 상태가 동기화된다.,Sprint3,미완료,미완료,
,,,,"씬 변경 시 타임라인, 자막, 편집 패널이 초기화/갱신된다.",Sprint3,미완료,미완료,
,메타데이터 관리,2-1 메타데이터 관리,상단 요약 카드,총 에셋 수를 확인할 수 있다.,Sprint5,미완료,미완료,
,,,,"생성 모델별 에셋 수(Veo3, Nano Banana 등)를 확인할 수 있다.",Sprint5,미완료,미완료,
,,,,스토리지 사용량을 확인할 수 있다.,Sprint5,미완료,미완료,
,,,검색,에셋명 또는 키워드로 검색할 수 있다.,Sprint5,미완료,미완료,
,,,,검색 조건에 따라 에셋 목록이 필터링된다.,Sprint5,미완료,미완료,
,,,,"관리자 페이지에서 사용자, 에셋, 활동 유형, 기간별로 글로벌 로그를 검색할 수 있다",Sprint5,미완료,미완료,
,,,,"검색바,검색어 입력 시 'AI 추천 카테고리'나 '연관 태그'를 드롭다운으로 제안받는다.",Sprint5,미완료,미완료,
,,,,검색 목록 상단에 AI 분석 결과 요약 패널을 확인할 수 있다.,Sprint5,미완료,미완료,검색하여 목록이 보이는 경우에만
,,,,수정 날짜' 필터 옆에 '관련성 순(AI)' 정렬 옵션을 선택하여 검색 결과를 정렬한다.,Sprint5,미완료,미완료,
,,,,브랜드 가이드라인 위반 검색 필터를 적용할 수 있다.,Sprint5,미완료,미완료,
,,,,브랜드 가이드 라인 실패한 에셋에 대해 AI 검증 요청을 할 수 있다.,Sprint5,미완료,미완료,
,,,버튼 컨테이너,에셋 메타데이터를 Export 할 수 있다.,Sprint5,미완료,미완료,export 결과물이 어떤 형식인지는 결정해야 함
,,,,새로고침 버튼 클릭 시 목록을 갱신할 수 있다.,Sprint5,미완료,미완료,
,,,,에셋 등록 버튼을 확인할 수 있다.,Sprint5,미완료,미완료,
,,,,에셋 등록 버튼 클릭 시 에셋 등록 플로우를 시작할 수 있다.,Sprint5,미완료,미완료,
,,,,일괄 수정 버튼을 확인할 수 있다.,Sprint5,미완료,미완료,
,,,,테이블에서 에셋 선택 후 일괄수정 버튼 클릭 시 일괄 수정 팝업이 노출된다.,Sprint5,미완료,미완료,
,,,,데삭제 버튼을 클릭하여 에셋을 삭제할 수 있다.,Sprint5,미완료,미완료,관리자 권한으로 일반 사용자 삭제 파일도 강제 영구 삭제할 수 있음
,,,에셋 목록 테이블,에셋 목록을 테이블 형태로 확인할 수 있다.,Sprint5,미완료,미완료,
,,,,데이터 노출 개수를 설정할 수 있다.,Sprint5,미완료,미완료,default 5개
,,,,검색량이 많은 에셋에 뱃지를 확인할 수 있다.,Sprint5,미완료,미완료,"hot, best 등"
,,,,"에셋 썸네일 및 파일 형식(mp4, png 등)을 확인할 수 있다.",Sprint5,미완료,미완료,
,,,,에셋명을 확인할 수 있다.,Sprint5,미완료,미완료,
,,,,생성 일시를 확인할 수 있다.,Sprint5,미완료,미완료,
,,,,생성 모델명을 확인할 수 있다.,Sprint5,미완료,미완료,
,,,,에셋을 볼 수 있는 그룹을 설정할 수 있다.,Sprint5,미완료,미완료,뷰어 또는 편집 권한
,,,,생성자를 확인할 수 있다.,Sprint5,미완료,미완료,
,,,,에셋에 연결된 키워드 태그를 확인할 수 있다.,Sprint5,미완료,미완료,"최대 2개가 보이고, 2개 초과 시 +N "
,,,,마지막 수정 일시를 확인할 수 있다.,Sprint5,미완료,미완료,
,,,,에셋의 라이선스 버전을 확인할 수 있다.,Sprint5,미완료,미완료,라이선스 보여주는 방법 변경 시 수정 가능
,,,,각 에셋 우측에서 더보기(⋯) 메뉴를 확인할 수 있다.,Sprint5,미완료,미완료,더보기 기능 미정
,,,테이블 페이지네이션,에셋 목록 페이지네이션을 확인할 수 있다.,Sprint5,미완료,미완료,
,,,,페이지 번호 클릭 시 해당 페이지로 이동할 수 있다.,Sprint5,미완료,미완료,
,,2-1-1 에셋 팝업,팝업 헤더,에셋 목록에서 에셋 선택 시 에셋 정보 팝업을 확인할 수 있다.,Sprint5,미완료,미완료,
,,,,팝업 상단에서 “에셋 정보” 타이틀을 확인할 수 있다.,Sprint5,미완료,미완료,
,,,,X 버튼 클릭 시 에셋 정보 팝업을 닫을 수 있다.,Sprint5,미완료,미완료,
,,,에셋 대표 정보,에셋 썸네일(이미지/영상 아이콘)을 확인할 수 있다.,Sprint5,미완료,미완료,
,,,,"파일 해상도, 재생 시간, 파일 용량 정보를 확인할 수 있다.",Sprint5,미완료,미완료,
,,,,에셋 파일명을 확인할 수 있다.,Sprint5,미완료,미완료,
,,,,히스토리 버튼을 확인할 수 있다.,Sprint5,미완료,미완료,
,,,,버튼 클릭 시 메타 데이터 수정 이력을 확인할 수 있다.,Sprint5,미완료,미완료,
,,,,수정 이력에서 이전 이력으로 돌아갈 수 있다.,Sprint5,미완료,미완료,
,,,,수정 이력에서 이력별 저장을 할 수 있다.,Sprint5,미완료,미완료,
,,,,AI 요약 정보를 확인할 수 있다.,Sprint5,미완료,미완료,
,,,에셋 정보 수정,에셋 파일명을 수정할 수 있다.,Sprint5,미완료,미완료,
,,,,에셋에 연결된 키워드 태그 목록을 확인할 수 있다.,Sprint5,미완료,미완료,
,,,,데이터 에셋에 포함된 개인 식별 정보(PII) 여부를 탐지하고 마스킹 처리한다.,Sprint5,미완료,미완료,
,,,,키워드를 추가할 수 있다.,Sprint5,미완료,미완료,
,,,,키워드를 삭제할 수 있다.,Sprint5,미완료,미완료,
,,,,에셋 카테고리를 확인할 수 있다.,Sprint5,미완료,미완료,
,,,,에셋 카테고리를 선택/변경할 수 있다.,Sprint5,미완료,미완료,
,,,,에셋 설명 내용을 확인할 수 있다.,Sprint5,미완료,미완료,
,,,,에셋 설명 내용을 수정할 수 있다.,Sprint5,미완료,미완료,
,,,,메타데이터 항목을 추가할 수 있다.,Sprint5,미완료,미완료,
,,,,추가할 메타 데이터 항목의 입력 타입을 설정할 수 있다.,Sprint5,미완료,미완료,"input, radio, checkbox, date 등"
,,,,필수값 여부를 설정할 수 있다.,Sprint5,미완료,미완료,
,,,,에셋 상세 정보 팝업 내 '연관 자산(Related Assets)' 탭을 통해 파생 관계를 확인할 수 있다.,Sprint5,미완료,미완료,
,,,,금지어 설정을 추가할 수 있다.,Sprint5,미완료,미완료,
,,,버튼 컨테이너,파일 다운로드 버튼을 확인할 수 있다.,Sprint5,미완료,미완료,
,,,,버튼 클릭 시 원본 파일을 다운로드할 수 있다.,Sprint5,미완료,미완료,
,,,,미리보기 버튼을 확인할 수 있다.,Sprint5,미완료,미완료,
,,,,버튼을 클릭하여 문서를 미리 확인할 수 있다.,Sprint5,미완료,미완료,
,,,,저장 버튼을 확인할 수 있다.,Sprint5,미완료,미완료,
,,,,저장 버튼 클릭 시 수정된 메타데이터를 저장할 수 있다.,Sprint5,미완료,미완료,
,,,,저장 완료 시 팝업이 닫히거나 완료 alert를 확인할 수 있다.,Sprint5,미완료,미완료,
,,,,필수값 미입력 시 alert 또는 validation 메시지를 확인할 수 있다.,Sprint5,미완료,미완료,
,2-2 사용자 로그,사용자 로그,요약 카드,총 API 호출 수를 확인할 수 있다.,Sprint4,미완료,미완료,
,,,,총 토큰 사용량을 확인할 수 있다. ,Sprint4,미완료,미완료,
,,,,활성 사용자 수를 확인할 수 있다.,Sprint4,미완료,미완료,
,,,,사용 중인 모델 수를 확인할 수 있다.,Sprint4,미완료,미완료,
,,,검색,사용자명 또는 자산경로 기준으로 로그를 검색할 수 있다.,Sprint4,미완료,미완료,
,,,,사용자 그룹 기준으로 로그를 필터링할 수 있다.,Sprint4,미완료,미완료,
,,,,프로젝트 기준으로 로그를 필터링할 수 있다.,Sprint4,미완료,미완료,
,,,테이블,로그 발생 일시를 확인할 수 있다.,Sprint4,미완료,미완료,
,,,,로그를 발생시킨 사용자 정보를 확인할 수 있다.,Sprint4,미완료,미완료,
,,,,사용자 그룹 정보를 확인할 수 있다.,Sprint4,미완료,미완료,
,,,,사용한 AI 모델 정보를 확인할 수 있다.,Sprint4,미완료,미완료,
,,,,로그별 사용량(토큰 또는 크레딧)을 확인할 수 있다.,Sprint4,미완료,미완료,
,,,,로그가 연결된 자산 경로를 확인할 수 있다.,Sprint4,미완료,미완료,
,,,,각 로그 항목 우측에서 더보기(⋯) 메뉴를 확인할 수 있다.,Sprint4,미완료,미완료,더보기 기능 미정
,,,페이지네이션,로그 목록 페이지네이션을 확인할 수 있다.,Sprint4,미완료,미완료,
,,,,페이지 번호 클릭 시 해당 페이지로 이동할 수 있다.,Sprint4,미완료,미완료,
,2-3 사용량 모니터링,사용량 모니터링,요약 카드,전체 API 호출 수를 확인할 수 있다.,Sprint4,미완료,미완료,
,,,,누적 토큰 사용량을 확인할 수 있다.,Sprint4,미완료,미완료,
,,,,전체 에셋 생성 수를 확인할 수 있다.,Sprint4,미완료,미완료,
,,,,사용량 기반 예상 비용(Est. Cost)을 확인할 수 있다.,Sprint4,미완료,미완료,
,,,차트,"주간 기준 API 호출 수, 토큰 사용량, 에셋 생성 수를 그래프로 확인할 수 있다.",Sprint4,미완료,미완료,
,,,,API 호출 / 토큰 사용량 / 에셋 생성 항목을 색상으로 구분하여 확인할 수 있다.,Sprint4,미완료,미완료,
,,,,"주차(1주차, 2주차 등) 단위로 데이터를 확인할 수 있다.",Sprint4,미완료,미완료,
,,,,차트 항목 hover 시 상세 수치를 툴팁으로 확인할 수 있다.,Sprint4,미완료,미완료,
,,,,조직별 API 사용량 및 스토리지 점유율 시각화 그래프를 확인할 수 있다.,Sprint4,미완료,미완료,
,,,,사용자 로그를 조회할 수 있다.,Sprint4,미완료,미완료,
,,,,사용자 로그 데이터를 export 할 수 있다.,Sprint4,미완료,미완료,
,사용자 그룹 관리,사용자 그룹 관리,,조직도 기반의 그룹(부서/팀)을 트리 구조로 확인할 수 있다.,Sprint4,미완료,미완료,
,,,,사용자를 특정 그룹으로 Drag & Drop하여 해당 그룹의 권한을 자동 상속받게 한다.,Sprint4,미완료,미완료,
,,,,그룹별로 접근 가능한 폴더(Shared Drive)를 설정할 수 있다.,Sprint4,미완료,미완료,
,,,," Admin,대시보드, 아티팩트 카드 클릭 시 관련 상세 목록 또는 페이지로 이동한다.,미완료,미완료,일반 사용자는 ""영구 삭제"" 권한이 없으며 오롯이 관리자에게만 해당 권한이 있다.   ",Sprint4,미완료,미완료,
,,,,"사용자 리스트(이름, 이메일, 소속 그룹, 최근 접속일)를 확인하고 계정 상태를 관리한다.",Sprint4,미완료,미완료,
,브랜드 가이드라인,브랜드 가이드라인,,등록 버튼을 확인할 수 있다.,Sprint4,미완료,미완료,
,,,,"버튼 클릭 시 로고, 폰트 등 원본 파일을 등록할 수 있다.",Sprint4,미완료,미완료,
,,,,브랜드 전용 헥사 코드(Hex Code)를 입력하여 컬러 규정을 설정할 수 있다.,Sprint4,미완료,미완료,
,,,,금지어/금지 이미지 리스트를 관리하여 브랜드 안전성을 확보할 수 있다.,Sprint4,미완료,미완료,
,,,,유사 검색어에 사용되었거나 함께 사용하면 좋은 'Semantically Related' 에셋을 추천받을 수 있다.,Sprint4,미완료,미완료,
